context,k,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11,act12,act13,act14,act15,act16,act17,act18,act19,act20,act21,act22,act23,act24,act25,act26,act27,act28,act29,act30,act31,act32,act33,act34,act35,act36,act37,act38,act39,act40,act41,act42,act43,act44,act45,act46,act47,act48,act49,act50,act51,act52,act53,act54,act55,act56,act57,act58,act59,act60,act61,act62,act63
0,11,0,0,-1,0,0,-1,-1,0,2,0,1,0,0,0,0,-1,0,-3,0,-1,0,0,0,0,-1,2,0,1,0,-2,-1,0,0,1,1,-2,0,0,2,1,0,0,-1,-1,2,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,12,0,0,0,0,0,-2,0,-1,-1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,-1,0,1,0,1,0,0,2,-1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,13,0,0,0,-1,1,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,1,0,1,0,0,0,0,0,-2,0,1,0,1,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,-1,0
0,14,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,-2,0,0,0,0,-1,1,0,0,1,0,1,2,0,1,0,0,-1,0,-1,1,1,2,0,0,1,0,0,0,0,0,-1,1,0,0,-2,1,0,0,1,0,0,-2,1,-1,0
0,15,0,1,0,0,-1,0,0,0,0,-1,1,-2,0,0,0,0,0,2,0,0,0,0,-1,-1,0,0,-1,0,0,0,0,1,0,0,0,-2,0,0,-2,0,0,0,2,0,0,-1,0,1,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0
0,16,0,0,0,0,0,0,0,1,0,0,0,-2,0,1,0,0,2,0,0,0,-1,0,0,0,1,0,-1,0,1,0,2,1,0,0,0,0,0,0,0,1,-1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,-1,0,0
0,17,1,0,0,0,0,-1,2,0,0,0,2,1,0,0,0,1,-1,0,0,-1,-1,1,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,-1,0,0,0,-1,-1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
0,18,0,0,1,-1,0,0,1,-1,0,0,0,0,0,1,0,0,0,1,1,0,-1,0,0,0,-1,-1,0,0,0,2,0,0,-2,-1,0,0,2,1,0,-1,0,0,1,0,-2,0,0,-1,-2,-1,0,1,0,2,0,1,0,0,-1,0,0,0,1,0
0,19,0,-2,1,1,1,2,0,1,0,-2,1,-2,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,1,-1,-1,0,0,1,0,1,-1,0,-1,0,-1,-2,0,0,0,0,0,0,0,1,0,0,1,-1,-1,0,-1,0,0,0,0,0,0,0,-1,-1
0,20,0,2,1,0,0,-1,2,-1,0,0,1,0,0,-1,-1,0,-1,0,0,1,0,-1,-1,0,0,0,0,0,0,1,2,0,1,1,1,-1,0,1,0,-1,-1,0,0,0,0,-1,1,0,0,1,-1,0,0,0,0,0,0,1,1,1,0,0,0,0
0,21,0,0,1,1,0,0,-1,0,2,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-2,2,0,0,0,0,-1,1,0,1,0,0,1,0,0,-2,0,0,1,0,-2,-1,0,-1,1,0,0,-1,1,1
0,22,1,0,0,1,0,-1,0,0,0,0,-3,-1,0,0,0,0,-2,-1,0,-1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,-1,1,0,2,0,0,-1
0,23,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,-1,-1,0,-1,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,-1,1,-2,-1
0,24,0,0,1,0,0,0,1,0,1,0,2,-1,0,2,0,0,0,-1,-1,0,0,0,-1,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,1,0,0,0,0,0
0,25,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,-1,0,0,0,0,-1,0,-1,0,0,0,1,1,1,-1,0,0,-1,0,0,-3,1,2,-2,2,0,0,-1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
0,26,0,0,0,0,1,1,0,1,1,0,0,0,-1,0,0,-1,-1,0,0,0,1,-1,0,-1,1,0,0,0,1,1,0,0,0,-1,0,0,0,1,0,0,1,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
0,27,0,0,0,-2,-1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,-1,1,-1,0,0,0,-1,0,0,0,0,0,0,2,0,1,1,0,0,0,-1,-1,1,-1,0,-1,0,0,0,-1,0,1,1,-1,-1,1,0,0,0,0,-1,0
0,28,2,-1,1,-1,0,-1,0,-1,0,-1,0,0,-1,0,1,-1,0,0,0,0,0,0,1,0,-1,0,0,0,1,1,0,1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,-2,0,-2,0,1,1,0,0,0,0,1,0,-1,0,0,1,-1,0,0
0,29,0,0,0,0,1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,-1,0,0,-2,0,0,1,0,0,0,0,0,0,0,0,-1,0,1,0,0,-2,0,2,0,0,0,0,0,-2,0,0,0,0,0,0,-1,0,0
0,30,1,0,0,0,0,1,-2,0,-1,-1,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,0,1,0,0,0,-1,0,1,0,-3,1,0,0,0,0,-1,0,0,0,-1,1,0,-1,-2,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,-1,0
0,31,0,0,0,0,1,0,1,-1,0,0,0,0,0,-1,1,0,3,0,2,1,0,0,0,0,1,1,0,0,0,0,1,0,2,0,1,0,1,0,0,0,0,-1,0,0,0,-3,0,0,1,1,0,0,0,0,0,-1,1,-2,0,0,0,1,0,0
0,32,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,1,-1,-1,1,0,-2,-1,0,1,1,1,0,-1,0,0,0,0,0,-1,0,0,0,0,-1,-1,0,0,0,0,1,1,0,1,0,1,0,1,1,-1,0,1,0,0,1,-1,0,0,0,0,0
0,33,0,0,0,0,-1,0,-2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,-1,0,0,0,0,0,0,-2,-1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0
0,34,0,0,-2,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,-1,0,0,0,0,-1,0,0,0,1,1,0,0,-1,0,0,-1,1,0,0,0,1,0,0,1,0,-1,0,0,1,0,0,0,0,-1,-1,0,-1,0,-1,0,0,0,0,0,0,0
0,35,0,0,-1,0,0,1,0,0,0,-1,0,1,0,-1,0,0,0,-1,0,0,0,0,0,-1,-1,0,0,0,0,0,0,1,-1,0,-1,-2,1,0,0,0,1,0,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,-1,2
0,36,0,0,-1,0,0,1,0,0,-1,0,0,0,0,0,0,-2,0,0,-1,0,-2,0,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,1,-1,0,-1,1,0,0,-2,0
0,37,0,0,-2,0,0,0,1,-1,0,0,0,1,1,1,0,-1,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,1,1,1,-1,1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,0,0,0,1,0,1,0,0
0,38,-1,0,2,0,0,0,0,0,0,1,-1,0,0,0,-1,0,0,-1,0,-1,0,-1,1,0,0,1,1,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,1,0,0,-1,0,0,0,1,1,0,0
0,39,0,0,0,-1,0,-1,0,0,0,0,0,0,0,-1,0,1,-2,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,1,0,0,1,-2,0,0,0,-1,0,0,-1,0,1,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0
0,40,0,0,0,0,-1,0,0,-1,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,-3,-1,0,-1,0,1,0,0,-1,0,-1,2,0,0,0,1
0,41,-1,0,0,0,1,-1,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,-1,1,0,1,-1,0,0,0,1,-1,0,0,0,-1,-1,0,0,0,0,-1,0,0,1,0,-1,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1
0,42,-1,-1,1,-1,-1,0,1,0,0,-1,1,0,0,0,0,-1,0,0,-1,0,1,-1,0,0,0,0,-1,-1,0,1,1,0,-1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,-2,1,0,0,0,-1,0,0
0,43,1,-1,-1,0,-2,0,0,0,1,-1,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,-2,0,1,0,0,1,1,0,0,0,0,0,0,0,-1,1,-1,1,0,0,0,0,0,-1,-1,0,0,0,-1,-1,2,0,0,-1,0,0,0,-1,0,0
0,44,0,0,0,0,-1,0,0,-1,-1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,-1,0,-1,1,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,-1,1,0,1,0,-1,0,1,0,0
0,45,0,0,0,0,0,0,-1,1,-1,0,-1,0,0,0,0,1,0,-1,-1,0,0,0,0,-1,0,0,0,-1,0,0,1,1,1,0,0,0,1,-1,0,-2,2,0,0,0,0,0,-1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
0,46,0,0,-2,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,-1,0,-1,0,-1,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,47,0,2,-1,1,0,1,0,0,-2,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,-1,-1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,-1,0,0,-1,-1,-1,0,-1,1,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,0
0,48,0,0,0,0,1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,1,0,0,0,-1,0,-1,0,0,0,0,0,0,-1
0,49,0,0,0,0,0,0,0,0,-1,2,0,1,0,0,0,1,0,0,0,-1,0,1,0,0,0,0,0,0,1,0,-1,-1,1,-2,1,-1,1,0,0,-1,1,0,0,0,0,0,1,1,0,-3,1,0,0,0,0,0,0,0,0,0,2,0,1,0
0,50,0,0,1,0,0,1,0,1,0,1,-2,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-2,1,-1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0
0,51,0,-1,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,2,1,0,0,1,-1,0,0,1,0,-1,0,-1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,-1,0,0,0,1,0,-2,-1,0,-1,0,-1,-1,-1,-1,0
0,52,0,0,2,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,0,0,0,-2,2,0,0,0,0,-2,0,0,0,0,0,0,-1,0,2,0,0,-1,0,0,0,0,-1,0,0,0,-1,-3,-1,0,-1,0,1
0,53,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,-1,0,1,0,0,1,-1,2,1,0,0,2,0,-1,0,0,-1,-1,1,0,-2,-2,0,2,0,1,1,0,0,1,0,0,0,0,1,-1,-1,0,0,0,0,0,0,0,1,2
0,54,0,0,-1,0,0,0,2,1,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,1,0,0,-2,1,0,-1,-1,0,2,0,0,0,0,1,-1,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1
0,55,1,0,0,1,0,0,-1,0,0,0,0,-1,0,0,0,1,0,0,-1,0,-1,0,0,-1,0,0,0,-1,-1,2,0,0,0,0,0,-1,-2,0,0,0,0,0,0,-1,0,0,0,-1,-2,-1,-1,0,0,0,-1,-1,0,0,0,0,-1,0,0,0
0,56,0,0,0,-1,-2,-1,0,1,0,2,-1,0,0,0,2,0,0,0,1,2,0,0,0,1,1,1,0,0,1,0,0,0,1,-1,0,0,0,0,0,-1,0,-1,0,0,1,1,0,0,1,0,0,-1,0,0,0,0,0,0,1,1,-1,0,0,0
0,57,0,1,0,0,0,1,0,-1,1,1,0,0,0,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,-1,0,0,1,-1,0,0,1,1,0,1,0,0,0,1,0,0,-2,0,0,0,0,-1,0,0,0,0,0,0,-1,0,1,0,0,-1,-1,0
0,58,0,0,0,1,-1,-1,0,0,-1,0,0,0,0,1,0,1,0,0,0,0,0,0,-1,1,-1,0,-1,0,0,1,0,0,0,-1,0,-1,0,0,0,0,1,0,0,0,-2,0,0,0,0,0,1,0,1,0,0,0,-1,1,-1,-1,1,0,0,1
0,59,1,0,0,0,0,0,-1,-2,-1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,-1,1,-1,0,-1,-1,0,-1,-1,0,0,0,0,0,1,0,0,-2,0,1,0,0,-1,1,0,1,2,0,0,0,1,0,0,0,1,0,-1,0,2
0,60,0,0,1,1,1,0,-1,-2,-1,-1,0,0,0,0,1,1,0,0,0,0,-1,-1,0,0,-1,0,-1,0,0,0,0,-1,-1,1,0,0,0,0,0,0,0,-1,-1,0,0,1,1,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0
0,61,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,0,0,-1,0,0,0,0,0,0,1,-1,0,0,0,0,1,0,0,1,-1,0,1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
0,62,1,1,0,0,0,0,1,0,0,1,0,0,0,0,-1,0,0,0,0,-1,0,1,0,1,0,0,0,-1,-1,0,-1,-1,0,0,0,0,2,1,0,0,0,1,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,-1,0,0
0,63,0,0,0,0,0,0,1,0,0,0,1,-1,0,1,0,0,0,0,1,0,0,0,0,-1,-1,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,1,0,0,0,-1,2,0,-2,0,-1,-1,-1,0,0,0,-1,1,0,1,0,0,0,1,0,0
0,64,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,1,-1,0,1,0,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,1,0,0,0,-1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
0,65,0,-1,0,0,0,1,0,0,0,0,-2,0,0,0,0,1,0,0,0,0,0,0,1,-1,0,0,0,0,0,-1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-1,0,-2,0,0,0,0,0,1,0,0,0,-1,0,0,-1,0,0,0
0,66,0,-1,0,-1,0,0,0,0,0,-1,0,0,0,1,0,1,0,-2,0,2,0,1,0,0,1,0,0,0,0,1,-1,0,0,0,0,1,0,0,-1,0,0,1,0,0,1,-1,0,0,0,0,0,0,1,-1,1,0,0,0,-1,0,0,1,-1,1
0,67,0,0,-1,0,0,0,-1,0,0,0,0,0,-2,-1,0,0,0,-1,0,0,-1,0,1,0,0,0,-2,1,0,0,0,-1,0,0,1,1,0,0,2,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,-1,0
0,68,-2,1,0,-1,0,-2,-1,0,0,0,1,0,-1,0,-1,0,-2,0,0,0,0,0,0,-1,-1,0,-1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,-1,0,0,0,0,0,0,0,-1,1,0,0,0,-1,0,0,0,-1
0,69,-1,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,1,1,0,1,-1,0,1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,2,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0
0,70,1,-1,1,-1,-1,1,0,0,3,0,0,0,-1,-1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,2,-1,1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,0,-2,1,1,0,0
0,71,-1,0,0,1,0,0,0,-1,0,1,0,-2,0,0,0,-1,0,0,-1,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-3,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0
0,72,0,0,1,0,1,-1,0,2,0,0,0,0,2,1,0,2,-1,-1,0,1,0,0,0,0,0,0,-1,0,-1,0,0,0,0,1,0,-1,0,1,0,0,0,0,0,0,0,1,0,-1,0,-1,0,0,0,-1,1,-2,0,0,0,0,0,0,0,0
0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,-1,0,0,0,0,0,1,-1,0,0,0,0,-1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,2,0,-1,1,1,0,1,-1,2
0,74,-1,-1,0,0,0,0,0,-1,0,0,0,0,-1,-1,0,0,0,1,0,0,0,0,0,-1,0,2,0,0,0,0,0,0,2,1,0,-1,0,-2,-1,0,0,0,0,0,0,0,-1,0,0,1,0,-2,0,0,0,0,1,0,0,-1,0,1,0,-1
0,75,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,2,0,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
0,76,0,-1,0,1,0,0,0,0,0,-2,0,0,0,0,-1,0,-1,0,0,0,0,1,-1,-2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,-1,0,0,0,0,1,0,0,0,0,-1,0,0,0,-3,0,1,0,0,0,0,-1,0,0,-1
0,77,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,1,0,-2,-1,2,0,0,0,0,0,1,0,0,1,1,0,0,-1,0,1,0,0,-1,-2,0,1,0,1,2,0,1,-2,0,-1,-1,0,0,0,0,0,0,1,1,0,0,0,0,0
0,78,0,0,0,-2,2,1,0,0,0,1,-1,0,0,-1,1,0,0,0,-1,0,0,0,0,0,1,-1,0,0,0,-1,0,0,-1,2,1,0,0,-2,-1,0,0,0,1,0,0,0,0,0,0,1,0,0,-1,1,0,0,0,0,0,0,0,-1,0,0
0,79,0,1,0,-1,0,0,1,0,-1,0,0,0,0,0,0,0,-1,-1,0,-1,0,-1,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,-1,1,0,0,-1,0,1,0,0,0,0,-1
0,80,0,0,-1,0,0,0,0,0,0,-1,1,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,-1,0,-1,0,0,-1,0,0,0,-1,0,-2,1,0,0,1,0,0,0,0,0,0,0,-1,0,1,-1,0,1,0,1,0,0,-1,0,0,0,0,0,0
0,81,0,0,0,0,0,-2,0,3,1,0,0,0,0,1,1,1,-1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,-1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,-2,3,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0
0,82,0,1,0,0,0,0,0,0,0,-1,-1,0,0,1,1,-1,0,-1,-1,0,0,-1,0,0,0,-1,0,-1,1,0,0,0,0,0,1,0,0,0,1,0,1,-1,0,0,0,0,0,0,1,-1,-2,0,-1,0,0,0,-1,0,0,0,0,0,0,1
0,83,1,-1,0,0,-1,1,0,1,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,-1,1,-1,0,0,1,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,-1,0,-1,0,1,-1,1,0,0,1
0,84,0,0,0,0,0,0,2,0,2,0,0,-1,0,0,-1,0,0,2,-1,0,0,0,1,0,0,0,0,0,0,0,-2,0,0,0,0,0,-1,0,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0
0,85,1,-1,1,0,0,0,0,-1,0,-1,1,0,0,0,0,0,0,0,0,0,0,-2,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,1,0,0,1,0,1,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,-1,1
0,86,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,0,0,-1,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,2,0,0,1,0,0,-1,0,0,0,-3,0,0,1,-1
0,87,-1,0,-1,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,-2,0,0,0,1,0,0,0,0,0,-2,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-1,0,0,0,0,0,-1,1,-1,2,0,0,0,2,0,0
0,88,1,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,-1,1,0,0,-1,0,0,0,1,1,-1,0,1,-2,0,-1,0,0,2,1,0,0,0,-1,0,0,0,0,0,2,0,-1,0,0,-1,0
0,89,0,-1,0,0,1,-2,-1,0,0,1,-2,0,0,-2,0,-1,1,0,0,0,0,0,0,-1,0,2,0,1,0,-1,-1,0,1,0,-1,-1,0,0,1,0,0,1,0,0,0,1,-1,0,0,0,0,1,-1,0,-1,0,1,-1,0,0,0,-1,0,0
0,90,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,-1,0,1,-1,1
0,91,0,0,0,0,0,1,-2,-1,0,0,1,1,0,-2,0,-2,1,0,0,0,1,1,1,1,0,0,0,0,0,-1,1,0,0,-1,0,0,0,0,1,0,-1,0,0,0,0,1,1,0,0,0,0,-1,0,0,-2,0,-2,0,0,-1,0,0,1,0
0,92,1,0,0,0,0,-2,0,-1,0,0,-1,0,-1,0,1,1,0,0,0,-1,1,0,0,0,-2,-2,0,0,-1,-2,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,-1,1,0,0,1,0,0,-1,-1,1,0,0,-1,0,0,0,0,0,1
0,93,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,-1,0,0,-2,0,0,-1,-1,0,0,-1,0,-1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0
0,94,0,0,0,0,0,0,1,0,1,0,2,-2,0,0,0,1,0,1,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,1,0,1,0,2,0,-1,-1,-1,-1,0
