count,context,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11,act12,act13,act14,act15,act16,act17,act18,act19,act20,act21,act22,act23,act24,act25,act26,act27,act28,act29,act30,act31,wei0,wei1,wei2,wei3,wei4,wei5,wei6,wei7,wei8,wei9,wei10,wei11,wei12,wei13,wei14,wei15,wei16,wei17,wei18,wei19,wei20,wei21,wei22,wei23,wei24,wei25,wei26,wei27,wei28,wei29,wei30,wei31
21,0,0.632812,-0.442383,1.97949,2.31641,0.935059,0.0385742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.28418,0.378174,0.445557,1.53516,-0.470703,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0.632812,-0.442383,1.97949,2.31641,0.935059,0.0385742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.28418,0.378174,0.445557,1.53516,-0.470703,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0.632812,-0.442383,1.97949,2.31641,0.935059,0.0385742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.28418,0.378174,0.445557,1.53516,-0.470703,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0.980957,0.754395,0.231323,1.25,1.59766,0.98877,0.867188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.739258,0.1427,1.00781,-0.456543,0.0934448,0.708496,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0.980957,0.754395,0.231323,1.25,1.59766,0.98877,0.867188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.739258,0.1427,1.00781,-0.456543,0.0934448,0.708496,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0.980957,0.754395,0.231323,1.25,1.59766,0.98877,0.867188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.739258,0.1427,1.00781,-0.456543,0.0934448,0.708496,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,-1.41113,0.516602,1.17383,-0.861816,-0.125977,0.536133,0.428711,0.933105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.469727,-0.707031,-0.343994,1.03613,0.946777,1.6748,0.628418,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,-1.41113,0.516602,1.17383,-0.861816,-0.125977,0.536133,0.428711,0.933105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.469727,-0.707031,-0.343994,1.03613,0.946777,1.6748,0.628418,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,-1.41113,0.516602,1.17383,-0.861816,-0.125977,0.536133,0.428711,0.933105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.469727,-0.707031,-0.343994,1.03613,0.946777,1.6748,0.628418,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,1.72852,2.2793,1.38281,1.01074,0.754883,-0.573242,2.66797,-1.20801,0.465088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.855469,0.612793,1.24023,2.08984,0.990723,-0.443115,-0.852539,0.901367,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,1.72852,2.2793,1.38281,1.01074,0.754883,-0.573242,2.66797,-1.20801,0.465088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.855469,0.612793,1.24023,2.08984,0.990723,-0.443115,-0.852539,0.901367,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,1.72852,2.2793,1.38281,1.01074,0.754883,-0.573242,2.66797,-1.20801,0.465088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.855469,0.612793,1.24023,2.08984,0.990723,-0.443115,-0.852539,0.901367,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,-0.333984,1.72363,1.61719,0.970215,0.710449,0.192993,0.936523,-1.09766,-0.714355,-0.70166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.804199,0.339111,-0.175293,-0.078125,1.81445,-0.561523,1.09277,-1.50098,0.144287,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,-0.333984,1.72363,1.61719,0.970215,0.710449,0.192993,0.936523,-1.09766,-0.714355,-0.70166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.804199,0.339111,-0.175293,-0.078125,1.81445,-0.561523,1.09277,-1.50098,0.144287,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,-0.333984,1.72363,1.61719,0.970215,0.710449,0.192993,0.936523,-1.09766,-0.714355,-0.70166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.804199,0.339111,-0.175293,-0.078125,1.81445,-0.561523,1.09277,-1.50098,0.144287,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0.385742,-0.719238,1.61523,-1.04492,-1.60352,-0.904785,0.0221405,0.398926,2.38281,0.671387,0.624512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273682,0.156616,-0.324219,-0.0724487,-0.372559,-0.682129,1.39746,-1.98535,0.310059,-2.11133,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0.385742,-0.719238,1.61523,-1.04492,-1.60352,-0.904785,0.0221405,0.398926,2.38281,0.671387,0.624512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273682,0.156616,-0.324219,-0.0724487,-0.372559,-0.682129,1.39746,-1.98535,0.310059,-2.11133,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0.385742,-0.719238,1.61523,-1.04492,-1.60352,-0.904785,0.0221405,0.398926,2.38281,0.671387,0.624512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273682,0.156616,-0.324219,-0.0724487,-0.372559,-0.682129,1.39746,-1.98535,0.310059,-2.11133,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0.0183716,-0.27417,-1.3125,-0.0136261,-1.4248,0.143677,0.920898,0.63623,0.861816,-0.0608826,-2.03906,-1.62793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222168,-1.38965,0.313721,0.0602722,0.848145,-0.655762,0.0174408,-1.05273,-0.719727,-0.827148,-0.306641,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0.0183716,-0.27417,-1.3125,-0.0136261,-1.4248,0.143677,0.920898,0.63623,0.861816,-0.0608826,-2.03906,-1.62793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222168,-1.38965,0.313721,0.0602722,0.848145,-0.655762,0.0174408,-1.05273,-0.719727,-0.827148,-0.306641,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0.0183716,-0.27417,-1.3125,-0.0136261,-1.4248,0.143677,0.920898,0.63623,0.861816,-0.0608826,-2.03906,-1.62793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222168,-1.38965,0.313721,0.0602722,0.848145,-0.655762,0.0174408,-1.05273,-0.719727,-0.827148,-0.306641,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0.261719,0.834961,-0.504883,0.470703,0.0367737,-1.15039,-0.843262,-1.60352,-0.775391,0.40332,0.780273,1.65527,0.0330811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1582,0.327881,-1.03027,1.43262,-1.57324,-0.775391,-0.0748291,0.548828,0.997559,-0.430664,-0.289551,-0.308838,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0.261719,0.834961,-0.504883,0.470703,0.0367737,-1.15039,-0.843262,-1.60352,-0.775391,0.40332,0.780273,1.65527,0.0330811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1582,0.327881,-1.03027,1.43262,-1.57324,-0.775391,-0.0748291,0.548828,0.997559,-0.430664,-0.289551,-0.308838,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0.261719,0.834961,-0.504883,0.470703,0.0367737,-1.15039,-0.843262,-1.60352,-0.775391,0.40332,0.780273,1.65527,0.0330811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1582,0.327881,-1.03027,1.43262,-1.57324,-0.775391,-0.0748291,0.548828,0.997559,-0.430664,-0.289551,-0.308838,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0.60498,-2.16211,0.770508,0.0754395,-0.503418,1.2832,-1.05469,0.275146,0.563965,-0.11261,0.0551758,0.212891,0.199097,-0.405518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66406,1.86621,1.07812,-0.700684,-0.0484314,-0.456787,0.391602,-0.568359,0.538086,-0.493896,-0.161987,0.458252,0.353027,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0.60498,-2.16211,0.770508,0.0754395,-0.503418,1.2832,-1.05469,0.275146,0.563965,-0.11261,0.0551758,0.212891,0.199097,-0.405518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66406,1.86621,1.07812,-0.700684,-0.0484314,-0.456787,0.391602,-0.568359,0.538086,-0.493896,-0.161987,0.458252,0.353027,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0.60498,-2.16211,0.770508,0.0754395,-0.503418,1.2832,-1.05469,0.275146,0.563965,-0.11261,0.0551758,0.212891,0.199097,-0.405518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66406,1.86621,1.07812,-0.700684,-0.0484314,-0.456787,0.391602,-0.568359,0.538086,-0.493896,-0.161987,0.458252,0.353027,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0.987305,0.275391,-0.414307,-0.692871,-0.912598,1.58398,-0.590332,-0.384033,-0.325928,0.816406,-0.148804,1.90137,0.452393,-0.446533,0.693359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.84668,-0.848633,-1.55273,0.130615,0.716309,-0.692383,0.320557,0.373535,0.386719,0.0821533,-0.700195,0.640625,0.882812,0.743652,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0.987305,0.275391,-0.414307,-0.692871,-0.912598,1.58398,-0.590332,-0.384033,-0.325928,0.816406,-0.148804,1.90137,0.452393,-0.446533,0.693359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.84668,-0.848633,-1.55273,0.130615,0.716309,-0.692383,0.320557,0.373535,0.386719,0.0821533,-0.700195,0.640625,0.882812,0.743652,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0.987305,0.275391,-0.414307,-0.692871,-0.912598,1.58398,-0.590332,-0.384033,-0.325928,0.816406,-0.148804,1.90137,0.452393,-0.446533,0.693359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.84668,-0.848633,-1.55273,0.130615,0.716309,-0.692383,0.320557,0.373535,0.386719,0.0821533,-0.700195,0.640625,0.882812,0.743652,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,1.3623,0.493652,-1.66699,0.563965,-1.45801,1.36914,1.24707,2.51758,0.81543,0.108215,2.31836,-0.587402,1.3584,-0.656738,0.750488,0.86377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3396,-0.0625,-1.11816,-0.50293,0.10321,0.484375,0.907715,-1.89258,0.471436,0.485352,-0.51416,0.895996,0.194092,2.5625,0.602051,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,1.3623,0.493652,-1.66699,0.563965,-1.45801,1.36914,1.24707,2.51758,0.81543,0.108215,2.31836,-0.587402,1.3584,-0.656738,0.750488,0.86377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3396,-0.0625,-1.11816,-0.50293,0.10321,0.484375,0.907715,-1.89258,0.471436,0.485352,-0.51416,0.895996,0.194092,2.5625,0.602051,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,1.3623,0.493652,-1.66699,0.563965,-1.45801,1.36914,1.24707,2.51758,0.81543,0.108215,2.31836,-0.587402,1.3584,-0.656738,0.750488,0.86377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3396,-0.0625,-1.11816,-0.50293,0.10321,0.484375,0.907715,-1.89258,0.471436,0.485352,-0.51416,0.895996,0.194092,2.5625,0.602051,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0.483887,-0.0451355,-0.0688477,0.228394,0.732422,0.0436096,1.00098,-0.787109,-1.71289,1.08496,-0.130493,0.933594,-0.171143,-0.0135269,-0.811523,0.644043,0.0067749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.55957,-1.19238,1.46582,1.37598,0.535645,0.547852,0.61084,1.26562,-0.0701294,1.31445,1.07422,0.743652,-0.115845,-0.337402,0.562012,-0.130371,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0.483887,-0.0451355,-0.0688477,0.228394,0.732422,0.0436096,1.00098,-0.787109,-1.71289,1.08496,-0.130493,0.933594,-0.171143,-0.0135269,-0.811523,0.644043,0.0067749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.55957,-1.19238,1.46582,1.37598,0.535645,0.547852,0.61084,1.26562,-0.0701294,1.31445,1.07422,0.743652,-0.115845,-0.337402,0.562012,-0.130371,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0.483887,-0.0451355,-0.0688477,0.228394,0.732422,0.0436096,1.00098,-0.787109,-1.71289,1.08496,-0.130493,0.933594,-0.171143,-0.0135269,-0.811523,0.644043,0.0067749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.55957,-1.19238,1.46582,1.37598,0.535645,0.547852,0.61084,1.26562,-0.0701294,1.31445,1.07422,0.743652,-0.115845,-0.337402,0.562012,-0.130371,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,0.384766,-0.551758,1.12305,0.00234985,-1.11621,-1.82715,-1.29492,0.0741577,0.299805,-0.502441,-1.41309,-0.0540466,1.38086,-0.900879,-0.672363,-1.01855,-0.0682373,0.366699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435791,-1.09375,0.946289,-0.212891,0.945801,-0.682617,0.0276337,0.533691,-0.287109,-0.292236,-1.04688,0.897461,0.90332,0.363037,-0.0180359,-0.410645,-1.72656,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0,0.384766,-0.551758,1.12305,0.00234985,-1.11621,-1.82715,-1.29492,0.0741577,0.299805,-0.502441,-1.41309,-0.0540466,1.38086,-0.900879,-0.672363,-1.01855,-0.0682373,0.366699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435791,-1.09375,0.946289,-0.212891,0.945801,-0.682617,0.0276337,0.533691,-0.287109,-0.292236,-1.04688,0.897461,0.90332,0.363037,-0.0180359,-0.410645,-1.72656,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0.384766,-0.551758,1.12305,0.00234985,-1.11621,-1.82715,-1.29492,0.0741577,0.299805,-0.502441,-1.41309,-0.0540466,1.38086,-0.900879,-0.672363,-1.01855,-0.0682373,0.366699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435791,-1.09375,0.946289,-0.212891,0.945801,-0.682617,0.0276337,0.533691,-0.287109,-0.292236,-1.04688,0.897461,0.90332,0.363037,-0.0180359,-0.410645,-1.72656,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,1.48535,-0.0589294,0.511719,-1.22754,0.299072,-1.2002,-0.737305,0.235352,0.765625,-0.103271,-0.755859,-0.195801,0.459961,-1.0127,0.741699,-0.278809,-1.06543,1.63965,0.195679,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0365601,0.397949,-0.442139,-1.1582,-0.17981,0.467285,1.23535,1.02441,-0.515625,-0.0550232,1.09082,0.930176,-0.563477,0.14978,-0.179077,-0.290771,-0.144165,1.40527,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,1.48535,-0.0589294,0.511719,-1.22754,0.299072,-1.2002,-0.737305,0.235352,0.765625,-0.103271,-0.755859,-0.195801,0.459961,-1.0127,0.741699,-0.278809,-1.06543,1.63965,0.195679,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0365601,0.397949,-0.442139,-1.1582,-0.17981,0.467285,1.23535,1.02441,-0.515625,-0.0550232,1.09082,0.930176,-0.563477,0.14978,-0.179077,-0.290771,-0.144165,1.40527,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,1.48535,-0.0589294,0.511719,-1.22754,0.299072,-1.2002,-0.737305,0.235352,0.765625,-0.103271,-0.755859,-0.195801,0.459961,-1.0127,0.741699,-0.278809,-1.06543,1.63965,0.195679,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0365601,0.397949,-0.442139,-1.1582,-0.17981,0.467285,1.23535,1.02441,-0.515625,-0.0550232,1.09082,0.930176,-0.563477,0.14978,-0.179077,-0.290771,-0.144165,1.40527,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,1.65039,-1.62402,0.26123,0.199219,-0.602539,0.912109,1.76172,-0.97998,1.4834,1.47363,-0.694824,-1.81348,0.247925,0.175049,0.521973,1.31055,-1.32812,-1.4541,-0.419922,0.811523,0,0,0,0,0,0,0,0,0,0,0,0,1.45898,-0.633789,1.80469,-0.474854,0.157593,-0.0339355,-0.563965,0.718262,-0.287354,-0.367432,0.353516,-0.00144196,0.171143,-0.556641,0.625488,-0.421875,-1.49609,1.41309,-0.0102234,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0
64,0,1.65039,-1.62402,0.26123,0.199219,-0.602539,0.912109,1.76172,-0.97998,1.4834,1.47363,-0.694824,-1.81348,0.247925,0.175049,0.521973,1.31055,-1.32812,-1.4541,-0.419922,0.811523,0,0,0,0,0,0,0,0,0,0,0,0,1.45898,-0.633789,1.80469,-0.474854,0.157593,-0.0339355,-0.563965,0.718262,-0.287354,-0.367432,0.353516,-0.00144196,0.171143,-0.556641,0.625488,-0.421875,-1.49609,1.41309,-0.0102234,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0
65,0,1.65039,-1.62402,0.26123,0.199219,-0.602539,0.912109,1.76172,-0.97998,1.4834,1.47363,-0.694824,-1.81348,0.247925,0.175049,0.521973,1.31055,-1.32812,-1.4541,-0.419922,0.811523,0,0,0,0,0,0,0,0,0,0,0,0,1.45898,-0.633789,1.80469,-0.474854,0.157593,-0.0339355,-0.563965,0.718262,-0.287354,-0.367432,0.353516,-0.00144196,0.171143,-0.556641,0.625488,-0.421875,-1.49609,1.41309,-0.0102234,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0
66,0,1.42188,0.580566,-1.10254,-0.0571289,1.2627,1.35059,0.338867,-1.01953,1.12695,1.39941,0.830078,0.270752,0.261719,0.825195,1.2041,-1.91895,-0.451172,0.820801,-0.606445,1.39941,1.60449,0,0,0,0,0,0,0,0,0,0,0,-0.605469,0.00256729,1.02734,2.29688,0.159424,0.0750732,1.46582,0.808594,-0.464355,-1.63086,0.257568,-1.87695,-1.20605,-1.45703,1.03711,0.116455,-0.839844,-0.557129,-0.760254,-0.201538,-1.7334,0,0,0,0,0,0,0,0,0,0,0
