write_count,context,addr,shift_cnt,lane0,lane1,lane2,lane3,lane4,lane5,lane6,lane7,lane8,lane9,lane10,lane11,lane12,lane13,lane14,lane15,lane16,lane17,lane18,lane19,lane20,lane21,lane22,lane23,lane24,lane25,lane26,lane27,lane28,lane29,lane30,lane31,lane32,lane33,lane34,lane35,lane36,lane37,lane38,lane39,lane40,lane41,lane42,lane43,lane44,lane45,lane46,lane47,lane48,lane49,lane50,lane51,lane52,lane53,lane54,lane55,lane56,lane57,lane58,lane59,lane60,lane61,lane62,lane63
14,0,7,7,-9,3,-11,34,13,-27,-8,9,-12,-4,20,23,1,13,-1,11,7,28,0,3,5,-19,-22,-13,-29,0,10,10,-1,-27,-26,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,-6,-2,-21,-12,24,26,5,3,-3,5,-5,22,5,3,-9,11,-10,-16,-6,-31,3,15,-3,-26,19,2,-1,-6,-12,7
16,0,8,8,3,5,-2,0,-14,1,3,-12,-36,1,-14,18,2,-22,-18,-28,0,-10,1,9,16,0,11,2,-10,-7,9,5,-11,16,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,-17,16,4,-10,-2,-12,23,-11,-2,1,-14,18,13,-13,34,-7,-11,11,-7,0,-2,12,-14,24,-10,3,-7,7,0,-7
18,0,9,9,22,28,-3,-35,-5,-6,-15,-1,3,1,-34,14,-2,20,-9,7,-3,13,4,26,22,-1,-14,-9,-9,1,20,-9,4,-11,4,-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,18,-7,-2,0,-2,-20,7,-8,-38,-4,-24,-32,-38,-18,13,-9,-1,8,-3,-26,16,14,14,-9,6,-6,0,0,-11,1,-21
20,0,10,10,-16,34,-7,20,4,-20,-22,-12,4,-9,-19,2,13,-1,0,-25,34,-23,-39,0,15,-11,15,0,-18,22,-13,-13,-7,-10,-15,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,22,-14,1,5,0,13,-5,-8,-2,-27,1,-10,-6,15,4,-13,-13,-4,15,3,-35,-16,6,-12,16,-10,-24,-8,-3,31
22,0,11,11,-19,2,-10,13,-16,-8,-6,10,-13,-21,-14,2,-42,22,9,-29,-14,-10,0,0,9,-11,6,-32,7,18,13,28,11,10,3,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,-15,11,9,-13,-21,0,10,35,-26,11,-15,9,6,-18,2,30,3,-2,-18,8,1,-23,15,11,-1,8,-3,-28,-2,-22,-3
24,0,12,12,32,-1,-12,24,12,-10,8,-10,-23,22,23,7,-7,7,21,-3,-32,7,19,-22,-12,-7,11,16,17,15,10,3,0,-39,-23,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11,13,25,-8,-4,-10,-1,2,-11,-2,5,1,7,29,31,21,5,-11,3,3,-2,6,-11,-29,5,0,10,21,4,9,5,-3
26,0,13,13,24,-20,9,2,-9,4,-24,14,-8,15,-6,-3,-6,-6,18,-3,-21,8,-30,-1,-8,-4,-1,13,20,1,11,13,3,-29,-19,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-5,-8,-4,-14,-13,-11,7,-8,8,7,-16,10,23,19,24,-4,7,13,-22,-6,-7,-2,-9,-22,28,-14,-13,-2,-35,3,8
28,0,14,14,13,-17,8,1,6,-4,-8,6,12,-11,11,26,-19,-16,8,12,11,-14,-14,-10,0,13,-7,11,17,26,-14,24,27,-14,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,-19,1,-2,-6,11,-2,18,12,-5,21,-20,-3,-16,-4,3,17,2,1,-4,-11,-30,2,0,0,-5,-15,15,-19,-27,4,-6
30,0,15,15,5,5,-22,31,-5,12,-4,-17,5,6,2,28,-13,-19,2,-22,2,13,4,-15,11,17,-8,-20,6,18,9,0,0,1,24,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,-22,10,-3,-12,-5,20,0,8,16,36,-9,-5,-15,-12,-3,-7,-43,14,-3,1,-16,16,-30,5,4,18,1,-10,6,14,5
32,0,16,16,-3,5,17,-13,-13,25,5,27,-19,16,5,6,6,4,0,5,17,-27,12,11,9,24,-46,-5,-8,-13,21,15,-22,20,18,-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-41,10,-51,-16,-1,5,-19,3,4,7,2,18,24,-12,-27,-3,4,15,10,-3,-32,15,3,7,-13,-6,-15,-3,0,-5,3
34,0,17,17,27,-12,-18,9,-13,-10,19,-7,2,-44,-4,19,12,1,0,2,-6,-26,32,-9,-21,21,-1,18,-5,2,0,-2,5,-21,-4,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20,-4,-1,21,-8,-12,36,8,4,5,36,24,6,-3,16,-12,-9,-34,-15,2,-14,-22,13,1,18,-4,3,-16,-32,16,8,9
36,0,18,18,25,-14,23,6,24,6,-11,17,55,3,13,-16,1,-8,-17,17,-6,4,5,2,9,0,7,-29,9,-11,27,20,28,-6,-4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-10,5,-12,-8,-9,-15,1,33,-22,8,15,-29,-2,-27,22,-6,0,-7,-19,-6,-12,5,-2,0,6,10,-6,10,-9,33,4
38,0,19,19,10,4,-7,0,16,-8,4,-8,24,13,3,7,5,-9,0,31,40,-16,6,7,-10,4,-5,-9,-33,35,-26,21,12,-14,-18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,1,13,11,-2,15,0,2,-1,-17,-4,-30,-30,-28,6,-5,6,-5,13,-18,-9,9,-31,-16,11,8,8,-26,2,-13,23,10
40,0,20,20,-35,-10,-10,-21,17,0,6,8,9,8,5,10,0,3,2,-20,-21,-4,10,18,-12,-4,-5,-18,7,46,16,-14,11,-23,-15,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,-8,-3,0,8,-6,0,3,-15,17,3,21,31,-3,-2,5,12,7,-4,-2,-1,10,-9,-12,5,-16,-1,39,0,-6,27,1
42,0,21,21,30,-10,-18,3,-43,-7,-3,3,14,28,18,2,0,21,12,5,1,-9,-6,-20,19,-4,1,23,-5,15,34,1,-24,21,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-4,-16,1,-9,-3,-2,24,5,16,-5,-10,19,8,19,-23,7,-10,-3,-17,-6,16,23,0,-10,0,3,-23,11,-11,-23,-4
44,0,22,22,4,14,4,-3,21,-2,11,35,7,1,-13,-21,-15,19,-5,44,-9,-15,2,-11,-9,6,-22,-5,-9,-5,-17,-19,14,0,-19,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,24,7,-13,7,30,-14,23,35,-4,-3,-12,-3,6,29,-4,-20,8,-15,-17,-36,5,-26,-22,2,-28,10,-6,-3,1,-9,-10
46,0,23,23,-11,-25,15,-12,5,-34,0,-9,-8,-14,10,9,-25,-5,5,-17,1,9,-13,-4,-10,18,-1,-23,8,8,10,-9,2,0,-25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20,-19,-11,6,13,0,24,-10,0,0,25,-15,-12,14,-2,6,14,-8,0,2,-6,10,-1,-13,-17,-7,-25,-1,11,0,0,15
48,0,24,24,2,17,-4,0,-7,-15,-11,-2,-14,6,-4,-3,-9,1,-7,-17,-13,9,7,-12,10,0,0,3,4,20,-4,20,-4,20,9,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17,-25,7,3,-24,-7,1,-22,-1,-31,-14,7,0,-24,-8,8,1,-19,24,33,-23,8,16,-4,-37,-8,12,0,-6,-26,10,8
50,0,25,25,-10,9,9,-6,-10,14,30,7,-5,9,-26,7,20,8,1,-4,-17,-38,12,-1,-18,-5,6,27,2,-38,-11,-3,-6,17,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12,6,-1,-19,-2,-3,14,-7,6,9,10,16,26,17,-5,2,7,-1,19,-15,-1,2,-26,-20,25,6,5,0,20,0,12
52,0,26,26,-24,0,31,-6,11,-20,3,8,3,-4,-30,12,3,-17,-14,-28,4,29,4,-22,22,0,14,-6,-5,18,10,-3,13,13,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,-12,-8,11,-27,-18,-7,-6,9,21,26,-3,17,24,-23,-3,2,22,13,-17,19,16,17,-17,-36,-8,-5,-9,7,13,11
54,0,27,27,-7,21,14,8,39,3,30,-7,-3,17,-19,22,21,31,12,17,12,-17,7,-3,-26,-8,-18,1,-15,-3,-36,1,-41,-25,-6,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-3,19,-36,-18,-8,-2,-1,11,-7,-22,-15,-32,-3,23,1,-9,-5,-6,6,4,32,-17,-30,-12,-11,-12,2,10,6,0,43
56,0,28,28,7,3,-22,20,-12,7,0,19,37,-10,38,6,8,-10,-39,8,7,-14,1,-19,32,25,-2,-3,2,30,4,8,-24,20,-20,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,-8,-16,18,-49,-24,12,-2,-13,3,-22,-15,29,-22,-3,38,-12,4,-19,-21,-14,7,-24,13,-14,23,7,5,14,-9,20,18
58,0,29,29,-3,-11,-17,-18,17,30,28,-27,20,2,12,32,-10,7,-11,9,-25,-14,39,-13,-7,-2,-12,25,1,-2,13,12,0,-6,25,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,2,42,27,11,15,17,-10,2,15,7,13,-5,-39,2,-10,-12,14,1,-7,-21,-14,-14,-6,-8,-12,12,-20,1,-12,26,-2
60,0,30,30,-23,-30,12,12,15,4,-6,-3,-17,1,9,14,12,8,-19,-19,20,12,-13,8,-34,-10,12,12,12,14,-27,-13,-11,1,-7,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,-3,-13,-30,-17,5,-9,8,-8,29,14,-6,-15,6,23,-2,-27,20,8,0,13,4,6,-20,-8,-9,-19,0,-2,-8,15,4
62,0,31,31,-8,5,6,-6,16,-14,3,66,1,-7,-19,9,13,-2,-23,12,-25,-7,-23,0,-5,3,-15,-32,32,-28,-4,0,21,0,-19,-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-4,-22,-1,9,0,-14,-5,7,-5,30,-22,-30,-19,5,-15,8,-3,5,3,2,11,-20,5,-27,-24,-17,0,7,2,11,0
64,0,32,32,6,-4,22,-7,0,19,3,28,-8,-24,-2,-21,25,17,-24,-23,2,5,8,3,-21,0,7,6,-22,-19,1,-41,4,-6,10,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,3,29,7,-1,15,-6,-7,-12,12,11,10,-27,0,9,-28,-7,4,-3,10,-23,-13,28,-2,-18,10,10,8,17,-24,1,-35
66,0,33,33,-1,-17,49,21,27,51,15,15,19,-8,-12,2,-11,10,-11,-10,-1,-19,0,12,7,-12,-20,-22,-21,-22,-2,-25,14,19,33,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,-6,-12,20,0,7,-4,24,3,-12,15,10,18,1,-6,-5,16,-1,33,-18,-4,-31,-30,-17,-17,-13,-1,-5,19,-27,16,-24
68,0,34,34,4,0,-27,15,-4,15,-34,-24,-2,34,2,-5,6,-32,-1,-8,3,1,1,-32,-4,11,21,10,23,16,-11,9,2,7,0,-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,11,0,-3,6,14,-13,11,6,0,32,-7,-5,12,26,7,0,-10,13,-35,-9,-25,-14,-5,3,-12,11,-15,0,-7,-2,19
70,0,35,35,-5,-15,6,14,12,-5,-8,-35,-18,0,4,15,-4,-12,-18,37,4,4,-4,14,-20,-24,22,-2,-12,30,3,-24,-2,-2,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-1,3,17,8,-27,-6,-14,9,14,-1,-21,-17,12,-5,0,-8,-17,16,-8,7,-1,-9,-12,0,12,6,1,-5,0,-22,-36
72,0,36,36,-11,22,-27,-20,17,-21,-6,27,-15,-18,-14,18,3,4,-5,-7,6,17,2,24,24,5,7,-8,9,-6,-4,-10,-10,-14,-21,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,12,-19,-14,18,32,-18,-10,-3,1,-4,-5,-22,10,-9,-12,25,4,10,-20,-6,-36,0,12,-3,-32,-2,-15,-5,1,-23,-10
74,0,37,37,5,-28,10,-2,4,-9,-17,6,4,-5,-28,5,1,-13,19,10,6,-5,18,4,11,12,-10,-3,28,11,15,-23,24,-3,7,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-4,10,8,13,-1,-13,-7,6,12,17,19,1,-7,-8,-29,1,9,10,-25,-19,-15,16,-3,0,-34,15,-10,2,-4,6,4
76,0,38,38,14,-2,-26,-22,-1,-22,-8,19,11,18,-2,15,13,6,1,-1,0,-4,-9,-11,-4,5,-2,8,-11,5,3,-30,-17,-28,19,-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,0,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17,31,-10,-16,23,-4,5,-7,6,30,20,-22,0,12,-8,-6,-29,8,3,-28,-7,20,4,-37,4,-23,4,-33,14,14,10,18
78,0,39,39,36,-13,4,-8,11,10,2,-15,25,-19,-7,38,10,15,2,-7,-11,3,-11,-9,-20,-28,-14,8,-33,-4,-4,17,12,-11,16,-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19,12,7,13,15,18,8,-5,18,0,5,20,15,-9,3,0,-16,0,-10,-14,38,4,21,-7,-25,-11,-1,3,8,-18,-13,11
80,0,40,40,-12,-5,28,-12,3,29,18,-34,-2,18,-6,-4,31,14,-4,-13,33,1,3,2,-23,5,3,1,4,28,-17,-25,-28,13,19,-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12,-8,13,-10,10,0,-2,13,-14,42,-23,14,10,-22,-6,-1,-8,-3,0,-5,2,12,9,19,-10,43,-3,-3,-28,3,-16,31
82,0,41,41,-31,1,16,2,-8,14,11,-27,-23,5,-14,-8,7,18,5,0,0,-19,0,-32,0,-23,15,-27,-22,14,-19,-12,-27,4,-1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,0,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11,11,-4,10,10,-6,-2,1,7,15,11,-20,15,-11,-10,2,9,-30,13,-26,-23,5,-5,31,-5,46,20,1,41,-20,-6,-13
84,0,42,42,11,10,1,-2,25,-1,0,10,15,-2,-22,34,1,-15,9,10,-11,4,21,-15,-1,23,6,5,15,-9,14,23,35,4,-12,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-5,-28,26,-32,-15,4,8,2,22,13,-23,3,-4,17,-47,2,-14,35,-3,-33,-25,28,8,-9,-19,4,14,-3,-34,20,-11
86,0,43,43,18,-18,-16,4,-11,-17,-1,6,28,8,-22,-24,6,-52,-32,28,0,-4,-12,7,-1,13,13,-20,24,23,-15,0,6,-17,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-41,-2,3,-9,0,-41,-1,6,-19,-1,-28,-5,-16,7,23,0,-2,10,11,-11,3,-14,-2,-20,-16,-15,14,-16,3,18,23,18
