write_count,context,addr,shift_cnt,lane0,lane1,lane2,lane3,lane4,lane5,lane6,lane7,lane8,lane9,lane10,lane11,lane12,lane13,lane14,lane15,lane16,lane17,lane18,lane19,lane20,lane21,lane22,lane23,lane24,lane25,lane26,lane27,lane28,lane29,lane30,lane31,lane32,lane33,lane34,lane35,lane36,lane37,lane38,lane39,lane40,lane41,lane42,lane43,lane44,lane45,lane46,lane47,lane48,lane49,lane50,lane51,lane52,lane53,lane54,lane55,lane56,lane57,lane58,lane59,lane60,lane61,lane62,lane63
43,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56821,105736,139148,-19619,54365,12627,64098,169628,43354,-58870,156274,52451,-47962,-19236,-57248,-57855,-94376,62044,-8839,38089,55999,-15918,-114733,-73815,-66793,12788,-2751,41465,1938,65440,-48343,163806
44,0,22,22,-29032,57516,-34616,9776,92716,-123393,100346,-18367,-35859,-181539,-7953,-36657,-40041,139183,-2304,-118196,54704,84380,72801,-32540,-97251,-55880,24482,-56421,165206,12316,27615,-38538,-41276,171455,-51244,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-44454,81960,-6275,-104311,15365,-6448,-95736,94028,-89038,11550,51921,-118839,-100215,12534,-160874,23484,-27481,119971,-52723,-23578,54817,-19853,-105273,71429,-51221,113675,-71801,-144188,76063,63356,-67495,-105504
46,0,23,23,68817,-48721,14960,130119,66217,-105940,-82258,67795,62871,-109298,-55838,27415,35692,31509,-749,159007,44466,-30296,35486,40206,-51084,-13557,-145999,-40293,6390,22700,46356,-96581,-44980,51872,-187515,119246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138005,14960,69661,-15299,37315,104880,59258,66722,67909,-9799,-12739,-167156,11083,-31094,43799,60845,-87939,153348,2453,15643,164994,-4961,-26908,21082,13227,-102420,-76595,-21043,-54128,94683,-56065,34584
48,0,24,24,-14085,90917,-109334,-46619,-92105,-1415,-25645,46707,-123578,87173,-16610,-121034,120092,-35195,-32915,85468,5123,175829,20196,18418,-103351,-23190,171640,34093,79689,-206478,27855,-31036,-153555,-36416,-154786,20380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-133912,47880,-101279,-114212,-18915,-109464,62454,155583,47125,-83278,-82485,66488,-101961,158214,-45085,32380,87232,35363,84479,95775,-24677,861,92165,-163444,-3314,114083,-80145,-64246,36113,-65212,39719,58888
50,0,25,25,100140,-14265,-90892,-97367,-131038,51669,-31950,13732,-48548,80205,58966,-167844,14485,-94825,47265,53974,85529,33933,-63603,170504,-75899,-91320,73618,81999,35565,-69626,-36154,-223224,-54877,-68478,-17720,42852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24850,-77555,86220,-61593,-42725,20068,156712,-38862,19312,38177,-22642,-141426,48245,27876,1167,-170060,140266,-17826,11414,42658,-17468,54933,52644,25230,4626,224930,-68588,136982,-13282,-131853,67680,4178
52,0,26,26,-81499,12759,-178134,-7529,74226,-73133,-68391,-9988,132510,30437,-53490,33909,89357,53694,-43763,-116618,-104103,161120,-32940,-46852,-42043,50442,98101,-62427,-69970,147922,64494,-80332,146907,-2250,-147398,26781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92493,-47092,97271,-82087,44353,25285,107090,152895,30365,-126672,-31001,-60289,-69591,-658,-77207,-27503,51399,-24572,38512,-108909,62557,147985,6807,-32428,-145539,37971,130822,-184041,55513,49449,-129572,-14547
54,0,27,27,23793,-48013,-104524,68186,-15976,-30310,-106304,65446,160146,-26821,119389,1847,63099,75378,-94168,-38009,77167,-27666,50786,95779,76815,-142622,7186,-60879,-111415,993,-118779,97862,-139374,-9566,46117,-35303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-153279,53670,192816,21316,-212652,-57839,38193,42166,-124005,16741,-161331,-66312,-25768,-89171,44924,-189250,-2608,4202,-27814,52678,21207,-26140,-147363,-119851,53934,124331,127238,-96166,-65870,27498,-81464,94589
56,0,28,28,51654,127692,55864,116919,-33381,70534,250,75953,24642,-4546,244298,-283650,-54726,-30312,101839,53801,143445,216573,9944,95527,-90676,186602,21641,56211,-11528,-60827,29014,-66295,3752,76043,-13023,-69922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32170,-36067,73860,484,-62406,25318,30748,-84360,96097,138720,1826,-22156,-4594,-91828,13543,-164873,-32708,44985,-90111,-36129,-68317,47918,-47163,17331,35543,-74543,43810,29052,-135844,-84100,9784,7795
58,0,29,29,20472,-37285,33901,11682,73781,-15755,8209,95583,93425,-10288,19593,-68064,-41753,-61892,-109334,7682,-29999,-215511,3828,45517,-45686,38907,42504,-112433,17555,-7571,-13497,-111556,-22927,-167256,-95,42933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-143946,-95571,58949,-201919,70034,-97481,-228108,-77737,-136386,-177570,-13571,-90163,53308,-44745,-99854,2609,53701,-13687,-136463,83389,-23349,120467,-56444,8304,-131344,12130,27239,71711,15823,-33719,-27946,-57584
60,0,30,30,-84414,-113085,14901,194,174083,107201,19674,90282,-221648,-98217,112174,-57350,-21261,-159405,-39832,208487,-14724,19601,50809,170491,-39280,158666,-52708,-109267,53423,18746,-43986,-48018,-5883,27103,-113962,-66945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204480,-62915,227449,-30332,49222,71187,23544,57924,-23565,11587,37121,89192,30059,93892,-42071,-105453,40025,-52630,61444,32275,89819,-97464,88843,-94234,12449,-28484,40110,-106880,-135306,94394,-24635,-26506
62,0,31,31,110743,58632,44004,19475,193058,35081,-51851,-127171,89536,209420,-21360,-163933,63556,-49942,2273,-65403,-88347,798,56728,127969,-218119,24700,134218,-38254,-155565,-176324,-42749,114178,81448,131551,-95853,145026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10231,-13514,-52346,10729,-59692,47063,-52742,-37787,6913,43465,18821,137626,69768,124564,-99235,9392,150977,-31735,56458,-115394,-49132,9349,-52555,-56028,45827,48765,19915,108754,-28081,-22242,56617,-90474
64,0,32,32,-75589,-64240,-50909,180541,97585,-31892,173983,128803,27473,15876,-179395,-85458,46006,-69606,-53018,4010,-10562,-141903,35609,-145975,-214814,-15881,-103100,34178,-47344,-42250,-57347,122013,87978,50627,37423,-34961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29879,-181468,6871,-30392,-105013,-76620,-52019,-16332,-5392,35067,2971,-94335,-147626,25587,-70588,-65840,-14734,27271,-208901,143042,67584,-65473,-142569,27859,17104,45553,11141,28869,20672,161618,78254,25422
66,0,33,33,32773,27458,22951,-55175,30882,-15407,5577,-160404,52315,-57421,22263,-89810,-136987,-61791,-190893,-67379,23968,173750,-9370,-3017,-116610,-85388,81062,46181,-64933,52656,-50860,74673,51122,53924,-130402,58616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59472,99884,-72404,59671,93945,-50049,166453,152701,53746,-77220,-17094,-25327,-11324,9102,-160445,43848,5297,-70971,-14059,-156463,7830,16615,30986,33714,107108,6273,51909,-21148,31542,-11347,19708,26121
68,0,34,34,-39025,-16971,54774,87012,26455,93448,97184,-97494,77370,24762,-79671,-43116,88839,15475,40642,66757,83551,5424,45768,48500,14045,81409,-65066,-60509,-72411,-197513,52560,-86510,-30543,69593,91803,-125446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-34499,79139,29051,-71017,114377,-209684,-152061,-72256,-179530,-101946,-49980,-218442,-50839,30213,12288,71339,29278,91910,-133551,-31746,-40302,-22582,-39,-138048,90413,-14251,-25135,62226,-93017,-16885,115012,4126
70,0,35,35,105712,2517,74188,31850,-86471,-92198,-20208,-94906,-114928,25563,-19662,58717,-39992,21662,-125067,-51468,17707,-53606,-39471,118258,56701,-51790,-45459,-24127,32212,-16150,-10010,19604,30528,-124514,-111677,63081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50771,37088,63735,-241,71112,22839,-160375,73253,188784,-8779,21113,72050,87978,-130962,26071,-110201,76282,-15076,78337,38734,-129082,-85554,8712,102022,42848,-122338,43516,40521,-36513,129586,31661,-40473
72,0,36,36,26052,-111667,218588,-100273,-25096,-44566,108384,-129884,-14720,20859,-113705,43914,-74139,17002,4612,174002,-157941,13515,-20510,-92465,-93497,14438,11311,80530,61083,615,148664,-231385,-16594,-50469,-61847,-34207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
