write_count,context,addr,shift_cnt,lane0,lane1,lane2,lane3,lane4,lane5,lane6,lane7,lane8,lane9,lane10,lane11,lane12,lane13,lane14,lane15,lane16,lane17,lane18,lane19,lane20,lane21,lane22,lane23,lane24,lane25,lane26,lane27,lane28,lane29,lane30,lane31
30,0,15,15,70822,130629,-22388,-36271,-3313,-63512,26740,55082,25681,-5453,30800,2684,-42052,46161,-2994,7350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57070,2774,-32119,3142,26765,-35120,42760,-4767,12605,72094,19857,-5809,49947,28175,-33361,36816
32,0,16,16,-66478,-7264,57818,-13129,48435,-36267,-34688,-65724,-1720,-50103,-6375,81253,50268,28412,31910,18337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50785,26423,-65644,29545,-42357,-8718,-4883,26659,26755,35695,-33661,12870,2475,18774,-1604,-51865
34,0,17,17,42328,-65916,-5507,-13134,32681,-84783,23945,-38292,59790,-117192,-146406,72639,25366,-8412,50475,-31290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7157,47877,-69382,13037,44333,22653,-34882,10384,-77322,42614,-19223,53760,90746,-7682,9470,-60368
36,0,18,18,279,21492,-46573,17389,-25113,-5978,-72188,-2634,29641,76258,34273,-118656,-46241,30797,-33929,-34691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24172,1072,19665,-86145,-40290,808,79076,-7826,34531,-17649,-5785,15798,-17938,29177,5352,-13256
38,0,19,19,33401,-25443,-56526,41199,-57432,13547,-39774,-2006,-16094,21377,35091,-42721,-10330,22552,-13178,-79309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11436,62207,33924,-29493,-125724,1659,-20851,-86712,33767,40809,-395,34796,17732,97399,14553,17893
40,0,20,20,34195,67874,-18728,24756,10466,8617,74153,15516,-37522,-9208,-54274,42323,98666,6938,1357,40517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-67716,43290,7342,-31952,-3597,28689,-19179,61871,-1403,-39244,18714,-35059,-36060,41624,-107760,53755
42,0,21,21,-25434,-42401,6883,-799,-5740,45067,110314,-60852,-47884,117649,-109210,-52925,20404,-55424,-81508,618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13907,21090,31127,15386,36161,67058,-15605,44113,79810,-3581,-26253,-1625,-68034,471,-37190,45893
44,0,22,22,21394,-37182,25655,93129,14261,-15377,74761,27308,-38950,75288,-73278,-14685,-10772,-24768,43835,42312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18510,25841,21538,-42807,19376,-20809,-25293,31097,89750,56514,-19197,-21858,-51811,-31082,42141,24594
46,0,23,23,2026,1736,-19009,-69126,-55008,18247,-22712,-60842,-50812,-7262,-37937,14670,-5804,-11989,70174,70872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14521,2089,-57510,-47797,31827,-34654,-16893,130,37496,15159,-67641,52240,919,-10573,-64998,58560
48,0,24,24,67187,-10763,19777,20083,-15263,27000,16155,74219,-1291,66551,81251,8499,4913,23288,-6602,10709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12880,9650,-27305,8438,8091,5898,-8667,-4166,13044,41611,52030,-33443,-2300,-37592,-35485,32913
50,0,25,25,-77787,-34829,77451,30032,40740,51287,6929,-110580,38136,-58064,-22275,-5869,42528,54159,67662,4812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73862,7387,-21212,36741,-24373,-31176,-48840,-35619,-86388,-83248,59495,-6934,35273,-52406,75669,19386
52,0,26,26,65119,-38526,-58451,58691,-35870,31926,-91028,47978,-64042,12835,21914,-42621,-11674,71360,-58437,-22242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-30472,30633,92236,-75001,-54213,-53569,-42872,6701,-51990,8927,-82307,43286,-44982,77003,-88376,32940
54,0,27,27,-10787,23818,-23131,-35835,11736,343,-14989,3233,65486,-6708,-44524,38504,73953,60628,21255,14752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3830,26830,18218,71160,-9104,-38427,4745,-82529,-38183,-21403,-36128,-44483,30189,540,-19365,-16391
56,0,28,28,-105212,-94467,-49660,52157,-24612,20312,-34455,-26514,-17473,37255,55285,-67163,-48076,25753,-20179,33603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-43136,16634,126930,-8451,-21146,12244,55745,18617,27926,15802,-109673,-15469,-28850,28958,-55587,43599
58,0,29,29,-62703,54481,100723,-21704,13555,30672,76514,-48575,-16894,-12094,-101958,82663,88027,-44631,4026,21342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19332,11699,31985,62125,-37394,60977,-49342,60306,-19479,-3638,16304,15152,20984,-4685,38924,-57220
60,0,30,30,-50525,-30775,41450,10606,-32810,-33939,-107115,-40385,50099,9179,52745,-24471,7147,10445,-55880,63869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5312,35130,-30838,64117,-55191,1710,17367,-59678,-11134,-36691,40043,-26940,-52994,-39709,15579,-9213
62,0,31,31,16439,11475,30562,17147,35150,44021,-16759,1961,-17683,16542,-49898,-33632,28363,54381,53133,-9571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35328,40497,-14209,-28500,-26720,-23873,-118048,16938,29465,-22008,58979,-59830,-21349,5410,82028,20586
64,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,0,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,0,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,0,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,0,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,0,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,0,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,0,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,0,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,0,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,0,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,0,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,0,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,0,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,0,52,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,0,52,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,0,53,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,0,53,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,0,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,0,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,0,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,0,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,0,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,0,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,0,57,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,0,57,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,0,58,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,0,58,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,0,59,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,0,59,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,0,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,0,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,0,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,0,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,0,63,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,0,63,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
